transition_id,scenario,source_stage,target_stage,source,target,relation,transition,ground_truth,structured,embedding,hybrid
C1,CapitalOne,Requirements,Configuration,security_requirements,configured_cloud_controls,evolves_to,security_requirements -> configured_cloud_controls,,,,
C2,CapitalOne,Requirements,Configuration,security_requirements,cloud_access_configuration,evolves_to,security_requirements -> cloud_access_configuration,,,,
C3,CapitalOne,Requirements,Configuration,customer_data_access_restricted_to_authorized_services,configured_cloud_controls,evolves_to,customer_data_access_restricted_to_authorized_services -> configured_cloud_controls,,,,
C4,CapitalOne,Requirements,Configuration,customer_data_access_restricted_to_authorized_services,cloud_access_configuration,evolves_to,customer_data_access_restricted_to_authorized_services -> cloud_access_configuration,,,,
C5,CapitalOne,Configuration,Deployment,configured_cloud_controls,misconfigured_deployment,evolves_to,configured_cloud_controls -> misconfigured_deployment,,,,
C6,CapitalOne,Configuration,Deployment,configured_cloud_controls,excessive_iam_permissions,evolves_to,configured_cloud_controls -> excessive_iam_permissions,,,,
C7,CapitalOne,Configuration,Deployment,configured_cloud_controls,metadata_service_exposure,evolves_to,configured_cloud_controls -> metadata_service_exposure,,,,
C8,CapitalOne,Configuration,Deployment,cloud_access_configuration,misconfigured_deployment,evolves_to,cloud_access_configuration -> misconfigured_deployment,,,,
C9,CapitalOne,Configuration,Deployment,cloud_access_configuration,excessive_iam_permissions,evolves_to,cloud_access_configuration -> excessive_iam_permissions,,,,
C10,CapitalOne,Configuration,Deployment,cloud_access_configuration,metadata_service_exposure,evolves_to,cloud_access_configuration -> metadata_service_exposure,,,,
C11,CapitalOne,Deployment,Runtime,misconfigured_deployment,unauthorized_runtime_access,evolves_to,misconfigured_deployment -> unauthorized_runtime_access,,,,
C12,CapitalOne,Deployment,Runtime,misconfigured_deployment,unauthorized_data_access,evolves_to,misconfigured_deployment -> unauthorized_data_access,,,,
C13,CapitalOne,Deployment,Runtime,misconfigured_deployment,customer_data_exfiltration,evolves_to,misconfigured_deployment -> customer_data_exfiltration,,,,
C14,CapitalOne,Deployment,Runtime,excessive_iam_permissions,unauthorized_runtime_access,evolves_to,excessive_iam_permissions -> unauthorized_runtime_access,,,,
C15,CapitalOne,Deployment,Runtime,excessive_iam_permissions,unauthorized_data_access,evolves_to,excessive_iam_permissions -> unauthorized_data_access,,,,
C16,CapitalOne,Deployment,Runtime,excessive_iam_permissions,customer_data_exfiltration,evolves_to,excessive_iam_permissions -> customer_data_exfiltration,,,,
C17,CapitalOne,Deployment,Runtime,metadata_service_exposure,unauthorized_runtime_access,evolves_to,metadata_service_exposure -> unauthorized_runtime_access,,,,
C18,CapitalOne,Deployment,Runtime,metadata_service_exposure,unauthorized_data_access,evolves_to,metadata_service_exposure -> unauthorized_data_access,,,,
C19,CapitalOne,Deployment,Runtime,metadata_service_exposure,customer_data_exfiltration,evolves_to,metadata_service_exposure -> customer_data_exfiltration,,,,
