transition_id,scenario,source_stage,target_stage,source,target,relation,ground_truth,structured,embedding,hybrid
A1,Anthropic,Policy,Agent,policy_restriction,agentic_tool_use,evolves_to,,,,
A2,Anthropic,Policy,Agent,policy_restriction,automated_model_invocation_for_cyber_operations,evolves_to,,,,
A3,Anthropic,Policy,Agent,model_outputs_must_not_facilitate_cyber_attack_activities,agentic_tool_use,evolves_to,,,,
A4,Anthropic,Policy,Agent,model_outputs_must_not_facilitate_cyber_attack_activities,automated_model_invocation_for_cyber_operations,evolves_to,,,,
A5,Anthropic,Agent,Scripts,agentic_tool_use,recon_and_exploit_generation,evolves_to,,,,
A6,Anthropic,Agent,Scripts,agentic_tool_use,reconnaissance,evolves_to,,,,
A7,Anthropic,Agent,Scripts,agentic_tool_use,vulnerability_identification,evolves_to,,,,
A8,Anthropic,Agent,Scripts,agentic_tool_use,exploit_code_generation,evolves_to,,,,
A9,Anthropic,Agent,Scripts,automated_model_invocation_for_cyber_operations,recon_and_exploit_generation,evolves_to,,,,
A10,Anthropic,Agent,Scripts,automated_model_invocation_for_cyber_operations,reconnaissance,evolves_to,,,,
A11,Anthropic,Agent,Scripts,automated_model_invocation_for_cyber_operations,vulnerability_identification,evolves_to,,,,
A12,Anthropic,Agent,Scripts,automated_model_invocation_for_cyber_operations,exploit_code_generation,evolves_to,,,,
A13,Anthropic,Scripts,Runtime,recon_and_exploit_generation,credential_harvest_backdoor_exfil,evolves_to,,,,
A14,Anthropic,Scripts,Runtime,recon_and_exploit_generation,credential_harvesting,evolves_to,,,,
A15,Anthropic,Scripts,Runtime,recon_and_exploit_generation,backdoor_creation,evolves_to,,,,
A16,Anthropic,Scripts,Runtime,recon_and_exploit_generation,data_exfiltration,evolves_to,,,,
A17,Anthropic,Scripts,Runtime,reconnaissance,credential_harvest_backdoor_exfil,evolves_to,,,,
A18,Anthropic,Scripts,Runtime,reconnaissance,credential_harvesting,evolves_to,,,,
A19,Anthropic,Scripts,Runtime,reconnaissance,backdoor_creation,evolves_to,,,,
A20,Anthropic,Scripts,Runtime,reconnaissance,data_exfiltration,evolves_to,,,,
A21,Anthropic,Scripts,Runtime,vulnerability_identification,credential_harvest_backdoor_exfil,evolves_to,,,,
A22,Anthropic,Scripts,Runtime,vulnerability_identification,credential_harvesting,evolves_to,,,,
A23,Anthropic,Scripts,Runtime,vulnerability_identification,backdoor_creation,evolves_to,,,,
A24,Anthropic,Scripts,Runtime,vulnerability_identification,data_exfiltration,evolves_to,,,,
A25,Anthropic,Scripts,Runtime,exploit_code_generation,credential_harvest_backdoor_exfil,evolves_to,,,,
A26,Anthropic,Scripts,Runtime,exploit_code_generation,credential_harvesting,evolves_to,,,,
A27,Anthropic,Scripts,Runtime,exploit_code_generation,backdoor_creation,evolves_to,,,,
A28,Anthropic,Scripts,Runtime,exploit_code_generation,data_exfiltration,evolves_to,,,,
